Genome,vOTU ID,ClusterStatus,VCStatus,contig_length,provirus,proviral_length,gene_count,viral_genes,host_genes,checkv_quality,miuvig_quality,completeness,completeness_method,contamination,kmer_freq,warnings,clstr,clstr_size,length,clstr_rep,clstr_iden,clstr_cov,Phylum,Class,Order,Family,Genus,ICTV_Phylum,ICTV_Class,ICTV_Order,ICTV_Family,ICTV_Genus,SampleID,SampleName,Cyanobacterial Order,Cyanobacterial Family,Cyanobacterial Genus,Cyanobacterial Speices,Strain,BioProject,SRA Accession No.,JGI IMGD No.,Reported Habitat,Habitat,Substrate,Location
TC32_NODE_480_length_7001_cov_6.847105,vOTU550,Unclustered,Unclustered,7001,No,NA,8,1,0,Low-quality,Genome-fragment,6.56,HMM-based (lower-bound),0,1,low-confidence ITR,651,3,7001,0,100.00%,99%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC32,Oscillatoria tanganyikae FI6-MK23,Oscillatoriales,Oscillatoriaceae,Oscillatoria,Oscillatoria tanganyikae,FI6-MK23,PRJNA621665,SRR11678132,3300035010,Desert soil,Desert,soil,"California, USA"
TC18_NODE_16_length_258475_cov_12.977008_fragment_1,vOTU140,Unclustered,Unclustered,28753,No,NA,49,8,0,Low-quality,Genome-fragment,42.75,HMM-based (lower-bound),0,1,NA,257,1,28753,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC18,Hormoscilla sp. CMT-3BRIN-NPC48,Oscillatoriales,Gomontiellaceae,Hormoscilla,Hormoscilla sp.,CMT-3BRIN-NPC48,PRJNA650881,SRR12951525,3300038553,Desert soil,Desert,soil,"California, USA"
TC42_NODE_104_length_128199_cov_1.574583_fragment_3,vOTU523,Unclustered,Unclustered,8018,No,NA,9,0,2,Not-determined,Genome-fragment,NA,NA,0,1,no viral genes detected,625,1,8018,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC42,Stenomitos rutilans HA7619-LM2,Pseudanabaenales,Leptolyngbyaceae,Stenomitos,Stenomitos rutilans,HA7619-LM2,PRJNA617107,SRR12350322,3300036446,Cave rock wall,Cave,rock wall,"Hawaii, USA"
TC44_NODE_149_length_94989_cov_2.906380_fragment_1,vOTU563,Clustered,1469_0,37178,Yes,24050,39,8,7,Medium-quality,Genome-fragment,57.58,AAI-based (medium-confidence),35.31,1,low-confidence Provirus,293,1,24050,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC44,Tildeniella nuda ZEHNDER 1965/U140,Pseudanabaenales,Oculatellaceae,Tildeniella,Tildeniella nuda,ZEHNDER 1965/U140,PRJNA621657,SRR11676687,3300035002,Temperate wet wall,Temperate,rock wall,"Zurich, Switzerland"
TC42_NODE_11_length_1360783_cov_3.952205_fragment_16,vOTU525,Unclustered,Unclustered,25289,Yes,9720,27,4,6,Low-quality,Genome-fragment,21.62,HMM-based (lower-bound),61.56,1,NA,584,1,9720,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC42,Stenomitos rutilans HA7619-LM2,Pseudanabaenales,Leptolyngbyaceae,Stenomitos,Stenomitos rutilans,HA7619-LM2,PRJNA617107,SRR12350322,3300036446,Cave rock wall,Cave,rock wall,"Hawaii, USA"
TC42_NODE_11_length_1360783_cov_3.952205_fragment_14,vOTU524,Unclustered,Unclustered,19484,No,NA,12,0,2,Not-determined,Genome-fragment,NA,NA,0,1,no viral genes detected,356,1,19484,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC42,Stenomitos rutilans HA7619-LM2,Pseudanabaenales,Leptolyngbyaceae,Stenomitos,Stenomitos rutilans,HA7619-LM2,PRJNA617107,SRR12350322,3300036446,Cave rock wall,Cave,rock wall,"Hawaii, USA"
TC20_NODE_15_length_700655_cov_223.695464_fragment_10,vOTU214,Clustered,319_0,42304,No,NA,60,17,1,Medium-quality,Genome-fragment,88.35,HMM-based (lower-bound),0,1,NA,115,1,42304,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC20,Kaiparowitsia implicata GSE-PSE-MK54-09C,Pseudanabaenales,Oculatellaceae,Kaiparowitsia,Kaiparowitsia implicata,GSE-PSE-MK54-09C,PRJNA650883,SRR13242888,3300038555,Desert wet wall,Desert,rock wall,"Utah, USA"
TC32_NODE_249_length_59089_cov_1.993742_fragment_1,vOTU425,Unclustered,Unclustered,36362,No,NA,47,21,0,Low-quality,Genome-fragment,48.4,HMM-based (lower-bound),0,1,NA,191,1,36362,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC32,Oscillatoria tanganyikae FI6-MK23,Oscillatoriales,Oscillatoriaceae,Oscillatoria,Oscillatoria tanganyikae,FI6-MK23,PRJNA621665,SRR11678132,3300035010,Desert soil,Desert,soil,"California, USA"
TC42_NODE_907_length_9920_cov_65.905238,vOTU538,Unclustered,Unclustered,9920,No,NA,6,0,1,Not-determined,Genome-fragment,NA,NA,0,1,no viral genes detected,576,1,9920,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC42,Stenomitos rutilans HA7619-LM2,Pseudanabaenales,Leptolyngbyaceae,Stenomitos,Stenomitos rutilans,HA7619-LM2,PRJNA617107,SRR12350322,3300036446,Cave rock wall,Cave,rock wall,"Hawaii, USA"
TC21_NODE_13_length_470221_cov_3.044736_fragment_2,vOTU650,Unclustered,Unclustered,42160,Yes,40650,56,23,3,High-quality,High-quality,100,AAI-based (medium-confidence),3.58,1,NA,10,3,40650,0,100.00%,46%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC21,Kastovskya adunca ATA6-11-RM4,Oscillatoriales,Coleofasciculaceae,Kastovskya,Kastovskya adunca,ATA6-11-RM4,PRJNA621676,SRR11678224,3300034631,Desert soil,Desert,soil,"Atacama, Chile"
TC24_NODE_690_length_9010_cov_1.186874,vOTU315,Unclustered,Unclustered,9010,No,NA,9,5,0,Low-quality,Genome-fragment,5.88,HMM-based (lower-bound),0,1,NA,603,1,9010,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC24,Microcoleus vaginatus WJT46-NPBG5,Oscillatoriales,Microcoleus,Microcoleus,Microcoleus vaginatus,WJT46-NPBG5,PRJNA677056,SRR13207170,3300039305,Desert soil,Desert,soil,"California, USA"
TC33_NODE_43_length_222934_cov_294.200192_fragment_2,vOTU446,Unclustered,Unclustered,22266,Yes,16099,27,10,5,Low-quality,Genome-fragment,37.71,AAI-based (medium-confidence),27.7,1,NA,418,1,16099,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC33,Pegethrix bostrychoides GSE-TBD4-15B,Pseudanabaenales,Oculatellaceae,Pegethrix,Pegethrix bostrychoides,GSE-TBD4-15B,PRJNA617102,SRR12349533,3300036394,Desert wet wall,Desert,rock wall,"Utah, USA"
TC7_NODE_708_length_5967_cov_1.229110,vOTU120,Unclustered,Unclustered,5967,No,NA,11,4,0,Low-quality,Genome-fragment,12.4,AAI-based (medium-confidence),0,1,NA,304,2,5967,0,99.98%,25%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC7,Brasilonema octagenarum HA4186-MV1,Nostocales,Scytonemataceae,Brasilonema,Brasilonema octagenarum,HA4186-MV1,PRJNA621669,SRR11678155,3300035014,On wood in tropics,Tropics,wood,"Hawaii, USA"
TC14_NODE_65_length_140383_cov_1.895035_fragment_3,vOTU94,Unclustered,Unclustered,37734,No,NA,53,23,0,High-quality,High-quality,92.84,AAI-based (medium-confidence),0,1,NA,177,1,37734,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC14,Drouetiella hepatica UHER 2000/2452,Pseudanabaenales,Oculatellaceae,Drouetiella,Drouetiella hepatica,UHER 2000/2452,PRJNA617097,SRR12347860,3300036391,Rock surface,Rock,rock wall,"Kosice, Slovakia"
TC1_NODE_1321_length_5438_cov_0.989456,vOTU3,Clustered,745_0,5438,No,NA,5,0,2,Not-determined,Genome-fragment,NA,NA,0,1,no viral genes detected,694,1,5438,1,100,100%,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC1,Aetokthonos hydrillicola B3-Florida,Nostocales,Hapalosiphonaceae,Aetokthonos,Aetokthonos hydrillicola,B3-Florida,PRJNA617093,SRR12347192,3300036376,Aquatic epiphyte,Aquatic,plant,"South Carolina, USA"
TC9_NODE_357_length_40039_cov_1.810233_fragment_1,vOTU692,Unclustered,Unclustered,15300,No,NA,19,0,1,Not-determined,Genome-fragment,NA,NA,0,1,no viral genes detected,440,1,15300,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC9,Chroococcus sp. CMT-3BRIN-NPC107,Chroococcales,Chroococcaceae,Chroococcus,Chroococcus sp.,CMT-3BRIN-NPC107,PRJNA653492,SRR12688413,3300037833,Desert soil,Desert,soil,"California, USA"
TC9_NODE_357_length_40039_cov_1.810233_fragment_2,vOTU693,Unclustered,Unclustered,8341,No,NA,10,7,0,Low-quality,Genome-fragment,24.14,AAI-based (medium-confidence),0,1,NA,617,1,8341,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC9,Chroococcus sp. CMT-3BRIN-NPC107,Chroococcales,Chroococcaceae,Chroococcus,Chroococcus sp.,CMT-3BRIN-NPC107,PRJNA653492,SRR12688413,3300037833,Desert soil,Desert,soil,"California, USA"
TC36_NODE_1770_length_5093_cov_1.325413,vOTU459,Unclustered,Unclustered,5093,No,NA,6,1,0,Low-quality,Genome-fragment,8.91,AAI-based (medium-confidence),0,1,NA,712,1,5093,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC36,Pleurocapsa minor GSE-CHR-MK-17-07R,Pleurocapsales,Hyellaceae,Pleurocapsa,Pleurocapsa minor,GSE-CHR-MK-17-07R,PRJNA677054,SRR13207074,3300039304,Desert wet wall,Desert,rock wall,"Utah, USA"
TC25_k99_5651,vOTU334,Clustered,27_0,20191,No,NA,25,7,1,Low-quality,Genome-fragment,43.52,AAI-based (medium-confidence),0,1,low-confidence ITR,348,1,20191,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC25,Mojavia pulchra JT2-VF2,Nostocales,Nostocaceae,Mojavia,Mojavia pulchra,JT2-VF2,PRJNA650826,SRR12951532,3300038557,Desert soil,Desert,soil,"California, USA"
TC43_NODE_261_length_20169_cov_105.725726,vOTU547,Clustered,1465_0,20169,No,NA,17,2,1,Low-quality,Genome-fragment,7.52,HMM-based (lower-bound),0,1.01,NA,349,1,20169,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC43,Symplocastrum torsivum CPER-KK1,Oscillatoriales,Microcoleaceae,Symplocastrum,Symplocastrum torsivum,CPER-KK1,PRJNA617108,SRR12350505,3300036521,Grassland soil,Grassland,soil,"Colorado, USA"
TC22_k99_7191_fragment_3,vOTU291,Clustered,783_0,29119,No,NA,38,14,0,Medium-quality,Genome-fragment,66.75,AAI-based (medium-confidence),0,1,NA,253,2,29119,1,100,100%,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC22,Komarekiella atlantica HA4396-MV6,Nostocales,Nostocaceae,Komarekiella,Komarekiella atlantica,HA4396-MV6,PRJNA650825,SRR12951531,3300038556,Tropical vernal pool,Tropics,water,"Hawaii, USA"
TC9_NODE_301_length_51877_cov_2.200715,vOTU691,Unclustered,Unclustered,51877,No,NA,78,14,0,Medium-quality,Genome-fragment,69.5,HMM-based (lower-bound),0,1,NA,54,1,51877,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC9,Chroococcus sp. CMT-3BRIN-NPC107,Chroococcales,Chroococcaceae,Chroococcus,Chroococcus sp.,CMT-3BRIN-NPC107,PRJNA653492,SRR12688413,3300037833,Desert soil,Desert,soil,"California, USA"
TC2_NODE_123_length_183909_cov_62.720560_fragment_2,vOTU183,Unclustered,Unclustered,38432,No,NA,51,24,1,High-quality,High-quality,99.98,AAI-based (medium-confidence),0,1,NA,166,1,38432,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC2,Aphanocapsa lilacina HA4352-LM1,Synechococcales,Merismopediaceae,Aphanocapsa,Aphanocapsa lilacina,HA4352-LM1,PRJNA677053,SRR13206895,3300039303,Cave rock wall,Cave,rock wall,"Hawaii, USA"
TC7_NODE_45_length_279079_cov_14.006127_fragment_2,vOTU661,Clustered,27_0,52178,No,NA,52,17,2,High-quality,High-quality,98.39,AAI-based (medium-confidence),0,1,NA,52,2,52178,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC7,Brasilonema octagenarum HA4186-MV1,Nostocales,Scytonemataceae,Brasilonema,Brasilonema octagenarum,HA4186-MV1,PRJNA621669,SRR11678155,3300035014,On wood in tropics,Tropics,wood,"Hawaii, USA"
TC11_NODE_173_length_107209_cov_264.421014_fragment_3,vOTU285,Unclustered,Unclustered,23091,Yes,15004,28,9,8,Low-quality,Genome-fragment,30.98,AAI-based (medium-confidence),35.02,1,NA,446,2,15004,0,99.99%,99%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC11,Cyanosarcina radialis HA8281-LM2,Chroococcales,Chroococcaceae,Cyanosarcina ,Cyanosarcina radialis,HA8281-LM2,PRJNA653493,SRR12688412,3300037834,Cave rock wall,Cave,rock wall,"Hawaii, USA"
TC19_k99_37223,vOTU171,Clustered,929_0,59103,Yes,36113,47,6,6,Low-quality,Genome-fragment,46.31,HMM-based (lower-bound),38.9,1,NA,196,1,36113,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC19,Iphinoe sp. HA4291-MV1,Nostocales,Stigonemataceae,Iphinoe,Iphinoe sp.,HA4291-MV1,PRJNA617100,SRR12349226,3300036393,Tropical soil,Tropics,soil,"Hawaii, USA"
TC21_NODE_1274_length_6408_cov_0.953988,vOTU231,Unclustered,Unclustered,6408,No,NA,10,8,0,Low-quality,Genome-fragment,10.65,HMM-based (lower-bound),0,1,NA,666,1,6408,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC21,Kastovskya adunca ATA6-11-RM4,Oscillatoriales,Coleofasciculaceae,Kastovskya,Kastovskya adunca,ATA6-11-RM4,PRJNA621676,SRR11678224,3300034631,Desert soil,Desert,soil,"Atacama, Chile"
TC11_NODE_881_length_14965_cov_1.812778,vOTU272,Unclustered,Unclustered,14965,No,NA,14,5,0,Low-quality,Genome-fragment,18.46,HMM-based (lower-bound),0,1,NA,229,2,14965,0,99.99%,47%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC11,Cyanosarcina radialis HA8281-LM2,Chroococcales,Chroococcaceae,Cyanosarcina ,Cyanosarcina radialis,HA8281-LM2,PRJNA653493,SRR12688412,3300037834,Cave rock wall,Cave,rock wall,"Hawaii, USA"
TC12_NODE_48_length_211540_cov_35.066874_fragment_1,vOTU66,Unclustered,Unclustered,13964,Yes,8027,16,10,2,Low-quality,Genome-fragment,16.97,AAI-based (medium-confidence),42.52,1,NA,624,1,8027,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC12,Desmonostoc geniculatum HA4340-LM1,Nostocales,Nostocaceae,Desmonostoc,Desmonostoc geniculatum,HA4340-LM1,PRJNA621655,SRR11676647,3300035000,Cave rock wall,Cave,rock wall,"Hawaii, USA"
TC12_NODE_48_length_211540_cov_35.066874_fragment_2,vOTU67,Unclustered,Unclustered,6484,No,NA,8,0,2,Not-determined,Genome-fragment,NA,NA,0,1.01,no viral genes detected,665,1,6484,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC12,Desmonostoc geniculatum HA4340-LM1,Nostocales,Nostocaceae,Desmonostoc,Desmonostoc geniculatum,HA4340-LM1,PRJNA621655,SRR11676647,3300035000,Cave rock wall,Cave,rock wall,"Hawaii, USA"
TC16_NODE_143_length_30331_cov_71.106112,vOTU116,Clustered,973_0,30331,No,NA,50,13,0,Medium-quality,Genome-fragment,66.48,AAI-based (high-confidence),0,1,NA,243,2,30331,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC16,Goleter apudmare HA4340-LM2,Nostocales,Nostocaceae,Goleter,Goleter apudmare,HA4340-LM2,PRJNA621659,SRR11676930,3300035004,Cave rock wall,Cave,rock wall,"Hawaii, USA"
TC21_NODE_200_length_53911_cov_2.816209,vOTU241,Clustered,191_0,53911,Yes,46602,71,19,4,Medium-quality,Genome-fragment,86.58,AAI-based (medium-confidence),13.56,1,NA,77,1,46602,1,100,100%,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Unclassified,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC21,Kastovskya adunca ATA6-11-RM4,Oscillatoriales,Coleofasciculaceae,Kastovskya,Kastovskya adunca,ATA6-11-RM4,PRJNA621676,SRR11678224,3300034631,Desert soil,Desert,soil,"Atacama, Chile"
TC32_NODE_72_length_333875_cov_43.079950_fragment_2,vOTU439,Unclustered,Unclustered,38298,Yes,17654,37,5,9,Low-quality,Genome-fragment,13.64,AAI-based (medium-confidence),53.9,1,NA,382,1,17654,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC32,Oscillatoria tanganyikae FI6-MK23,Oscillatoriales,Oscillatoriaceae,Oscillatoria,Oscillatoria tanganyikae,FI6-MK23,PRJNA621665,SRR11678132,3300035010,Desert soil,Desert,soil,"California, USA"
TC41_NODE_545_length_11647_cov_19.706944,vOTU519,Unclustered,Unclustered,11647,No,NA,21,3,1,Low-quality,Genome-fragment,18.23,HMM-based (lower-bound),0,1,NA,534,1,11647,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC41,Spirirestis rafaelensis WJT71-NPBG6,Nostocales,Tolypothrichaceae,Spirirestis,Spirirestis rafaelensis,WJT71-NPBG6,PRJNA683097,SRR13242887,3300042538,Desert soil,Desert,soil,"California, USA"
