contig_id	contig_length	provirus	proviral_length	gene_count	viral_genes	host_genes	checkv_quality	miuvig_quality	completeness	completeness_method	contamination	kmer_freq	warnings
TC33_NODE_43_length_222934_cov_294.200192_fragment_2	22266	Yes	16099	27	10	5	Low-quality	Genome-fragment	37.71	AAI-based (medium-confidence)	27.7	1.0	
TC7_NODE_708_length_5967_cov_1.229110	5967	No	NA	11	4	0	Low-quality	Genome-fragment	12.4	AAI-based (medium-confidence)	0.0	1.0	
TC14_NODE_65_length_140383_cov_1.895035_fragment_3	37734	No	NA	53	23	0	High-quality	High-quality	92.84	AAI-based (medium-confidence)	0.0	1.0	
TC1_NODE_1321_length_5438_cov_0.989456	5438	No	NA	5	0	2	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TC9_NODE_357_length_40039_cov_1.810233_fragment_1	15300	No	NA	19	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TC9_NODE_357_length_40039_cov_1.810233_fragment_2	8341	No	NA	10	7	0	Low-quality	Genome-fragment	24.14	AAI-based (medium-confidence)	0.0	1.0	
TC36_NODE_1770_length_5093_cov_1.325413	5093	No	NA	6	1	0	Low-quality	Genome-fragment	8.91	AAI-based (medium-confidence)	0.0	1.0	
TC25_k99_5651	20191	No	NA	25	7	1	Low-quality	Genome-fragment	43.52	AAI-based (medium-confidence)	0.0	1.0	low-confidence ITR
TC43_NODE_261_length_20169_cov_105.725726	20169	No	NA	17	2	1	Low-quality	Genome-fragment	7.52	HMM-based (lower-bound)	0.0	1.01	
TC22_k99_7191_fragment_3	29119	No	NA	38	14	0	Medium-quality	Genome-fragment	66.75	AAI-based (medium-confidence)	0.0	1.0	
TC9_NODE_301_length_51877_cov_2.200715	51877	No	NA	78	14	0	Medium-quality	Genome-fragment	69.5	HMM-based (lower-bound)	0.0	1.0	
TC2_NODE_123_length_183909_cov_62.720560_fragment_2	38432	No	NA	51	24	1	High-quality	High-quality	99.98	AAI-based (medium-confidence)	0.0	1.0	
TC7_NODE_45_length_279079_cov_14.006127_fragment_2	52178	No	NA	52	17	2	High-quality	High-quality	98.39	AAI-based (medium-confidence)	0.0	1.0	
TC11_NODE_173_length_107209_cov_264.421014_fragment_3	23091	Yes	15004	28	9	8	Low-quality	Genome-fragment	30.98	AAI-based (medium-confidence)	35.02	1.0	
TC19_k99_37223	59103	Yes	36113	47	6	6	Low-quality	Genome-fragment	46.31	HMM-based (lower-bound)	38.9	1.0	
TC21_NODE_1274_length_6408_cov_0.953988	6408	No	NA	10	8	0	Low-quality	Genome-fragment	10.65	HMM-based (lower-bound)	0.0	1.0	
TC11_NODE_881_length_14965_cov_1.812778	14965	No	NA	14	5	0	Low-quality	Genome-fragment	18.46	HMM-based (lower-bound)	0.0	1.0	
TC12_NODE_48_length_211540_cov_35.066874_fragment_1	13964	Yes	8027	16	10	2	Low-quality	Genome-fragment	16.97	AAI-based (medium-confidence)	42.52	1.0	
TC12_NODE_48_length_211540_cov_35.066874_fragment_2	6484	No	NA	8	0	2	Not-determined	Genome-fragment	NA	NA	0.0	1.01	no viral genes detected
TC16_NODE_143_length_30331_cov_71.106112	30331	No	NA	50	13	0	Medium-quality	Genome-fragment	66.48	AAI-based (high-confidence)	0.0	1.0	
TC21_NODE_200_length_53911_cov_2.816209	53911	Yes	46602	71	19	4	Medium-quality	Genome-fragment	86.58	AAI-based (medium-confidence)	13.56	1.0	
TC32_NODE_72_length_333875_cov_43.079950_fragment_2	38298	Yes	17654	37	5	9	Low-quality	Genome-fragment	13.64	AAI-based (medium-confidence)	53.9	1.0	
TC41_NODE_545_length_11647_cov_19.706944	11647	No	NA	21	3	1	Low-quality	Genome-fragment	18.23	HMM-based (lower-bound)	0.0	1.0	
TC19_k99_38087_fragment_10	17093	No	NA	19	0	5	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TC19_k99_38087_fragment_9	51656	No	NA	92	14	2	Medium-quality	Genome-fragment	78.43	HMM-based (lower-bound)	0.0	1.0	
TC23_NODE_136_length_91462_cov_3.281042_fragment_3	27352	Yes	22592	31	10	2	Low-quality	Genome-fragment	36.52	HMM-based (lower-bound)	17.4	1.0	
TC14_NODE_188_length_55975_cov_1.464636_fragment_1	17537	No	NA	23	5	0	Low-quality	Genome-fragment	40.71	AAI-based (medium-confidence)	0.0	1.0	
TC22_k99_9685	6725	No	NA	7	1	0	Low-quality	Genome-fragment	10.06	HMM-based (lower-bound)	0.0	1.0	
TC38_NODE_107_length_35249_cov_5.870366_fragment_2	16971	No	NA	26	0	4	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TC44_NODE_32_length_460431_cov_28.341613_fragment_8	45862	Yes	26128	57	18	11	Low-quality	Genome-fragment	35.91	HMM-based (lower-bound)	43.03	1.0	
TC9_NODE_2794_length_5245_cov_4.210825	5245	No	NA	5	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TC46_NODE_8_length_546078_cov_19.002079_fragment_3	12533	No	NA	19	4	1	Low-quality	Genome-fragment	28.4	AAI-based (medium-confidence)	0.0	1.0	
TC39_NODE_245_length_50334_cov_108.036987_fragment_1	25533	Yes	19946	47	5	3	Medium-quality	Genome-fragment	51.47	AAI-based (medium-confidence)	21.88	1.0	
TC9_NODE_2886_length_5069_cov_56.532578	5069	Yes	1034	7	1	2	Low-quality	Genome-fragment	0.27	HMM-based (lower-bound)	79.6	1.0	
TC9_NODE_132_length_115497_cov_69.713790_fragment_1	50804	No	NA	81	34	1	High-quality	High-quality	95.72	AAI-based (medium-confidence)	0.0	1.0	
TC47_NODE_256_length_7105_cov_1.087991	7105	No	NA	9	5	0	Low-quality	Genome-fragment	13.38	AAI-based (medium-confidence)	0.0	1.0	
TC2_NODE_28_length_574127_cov_141.062979_fragment_4	17761	Yes	14270	22	9	3	Low-quality	Genome-fragment	22.89	AAI-based (medium-confidence)	19.66	1.0	
TC30_NODE_166_length_38633_cov_1.834208_fragment_1	20636	No	NA	35	6	1	Low-quality	Genome-fragment	29.16	HMM-based (lower-bound)	0.0	1.0	
TC27_NODE_5_length_948412_cov_34.736842_fragment_11	13125	No	NA	8	0	4	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TC32_NODE_62_length_383417_cov_7.033069_fragment_8	35667	Yes	13092	48	3	10	Low-quality	Genome-fragment	19.28	HMM-based (lower-bound)	63.29	1.0	
TC32_NODE_62_length_383417_cov_7.033069_fragment_2	35211	No	NA	37	7	4	Low-quality	Genome-fragment	30.79	HMM-based (lower-bound)	0.0	1.0	
TC2_NODE_67_length_335913_cov_14.129618_fragment_8	28614	No	NA	31	5	1	Medium-quality	Genome-fragment	68.57	AAI-based (medium-confidence)	0.0	1.0	
TC25_k99_949	6500	No	NA	8	5	0	Low-quality	Genome-fragment	7.81	HMM-based (lower-bound)	0.0	1.0	
TC11_NODE_982_length_12261_cov_1.458958	12261	No	NA	15	5	1	Low-quality	Genome-fragment	24.79	AAI-based (high-confidence)	0.0	1.0	
TC14_NODE_794_length_12156_cov_1.263613	12156	No	NA	21	4	1	Low-quality	Genome-fragment	17.97	HMM-based (lower-bound)	0.0	1.0	
TC4_NODE_35_length_71548_cov_19.897915_fragment_1	47915	No	NA	53	17	4	High-quality	High-quality	100.0	AAI-based (medium-confidence)	0.0	1.0	
TC11_NODE_6_length_890872_cov_11.620703_fragment_2	9781	No	NA	10	4	0	Low-quality	Genome-fragment	24.67	AAI-based (medium-confidence)	0.0	1.0	
TC11_NODE_6_length_890872_cov_11.620703_fragment_3	42126	No	NA	56	28	1	High-quality	High-quality	94.06	AAI-based (medium-confidence)	0.0	1.0	
TC21_NODE_352_length_25851_cov_4.020487	25851	No	NA	30	10	0	Low-quality	Genome-fragment	38.74	HMM-based (lower-bound)	0.0	1.0	
TC6_NODE_57_length_172417_cov_20.278443_fragment_2	95487	No	NA	128	26	2	High-quality	High-quality	100.0	AAI-based (medium-confidence)	0.0	1.97	high kmer_freq may indicate large duplication; contig >1.5x longer than expected genome length; low-confidence DTR
TC6_NODE_57_length_172417_cov_20.278443_fragment_1	9917	No	NA	7	0	1	Low-quality	Genome-fragment	6.45	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
TC46_NODE_25_length_217657_cov_11.547033_fragment_1	48068	No	NA	68	18	3	High-quality	High-quality	100.0	AAI-based (medium-confidence)	0.0	1.0	
TC12_NODE_57_length_191730_cov_277.144977_fragment_1	10229	No	NA	16	5	0	Low-quality	Genome-fragment	10.9	HMM-based (lower-bound)	0.0	1.0	
TC6_NODE_25_length_324279_cov_99.614125_fragment_3	44048	No	NA	50	26	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
TC21_NODE_30_length_280467_cov_3.679974_fragment_3	83257	No	NA	88	25	4	High-quality	High-quality	91.66	HMM-based (lower-bound)	0.0	1.0	
TC23_NODE_85_length_158508_cov_121.493317_fragment_2	85818	Yes	66063	116	11	11	Medium-quality	Genome-fragment	78.4	HMM-based (lower-bound)	23.02	1.0	
TC10_NODE_57_length_114557_cov_165.914100_fragment_3	5173	No	NA	8	1	0	Low-quality	Genome-fragment	3.34	HMM-based (lower-bound)	0.0	1.0	
TC21_NODE_1169_length_6803_cov_3.292540	6803	No	NA	10	0	2	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TC43_NODE_250_length_24450_cov_17.771040	24450	No	NA	24	1	6	Low-quality	Genome-fragment	36.58	HMM-based (lower-bound)	0.0	1.03	
TC33_NODE_6_length_1192258_cov_18.151574_fragment_1	17001	No	NA	23	11	0	Low-quality	Genome-fragment	22.56	HMM-based (lower-bound)	0.0	1.0	
TC39_NODE_732_length_11396_cov_34.803443	11396	No	NA	20	3	0	Low-quality	Genome-fragment	18.91	HMM-based (lower-bound)	0.0	1.01	low-confidence DTR
TC19_k99_8536_fragment_2	10908	No	NA	9	0	3	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TC28_NODE_27_length_255358_cov_193.026031_fragment_1	124551	No	NA	197	25	1	Medium-quality	Genome-fragment	85.24	HMM-based (lower-bound)	0.0	1.0	
TC15_NODE_1359_length_7288_cov_1.000000	7288	No	NA	7	5	0	Low-quality	Genome-fragment	9.53	HMM-based (lower-bound)	0.0	1.0	
TC21_NODE_1220_length_6608_cov_1.950779	6608	No	NA	9	1	0	Low-quality	Genome-fragment	3.69	HMM-based (lower-bound)	0.0	1.0	
TC22_k99_11530	5126	No	NA	9	3	0	Low-quality	Genome-fragment	6.73	HMM-based (lower-bound)	0.0	1.0	
TC43_NODE_58_length_231948_cov_2.108183_fragment_1	17025	No	NA	17	4	0	Low-quality	Genome-fragment	26.02	HMM-based (lower-bound)	0.0	1.0	
TC43_NODE_58_length_231948_cov_2.108183_fragment_2	10349	No	NA	8	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TC24_NODE_758_length_8222_cov_1.180976	8222	No	NA	8	3	0	Low-quality	Genome-fragment	12.77	HMM-based (lower-bound)	0.0	1.0	
TC48_NODE_120_length_57275_cov_4.218538	57275	No	NA	85	27	0	Complete	High-quality	100.0	DTR (medium-confidence)	0.0	1.0	
TC25_k99_4506	62919	Yes	60167	106	19	3	Medium-quality	Genome-fragment	78.3	HMM-based (lower-bound)	4.37	1.0	
TC11_NODE_492_length_33086_cov_1.546467_fragment_1	26232	No	NA	33	13	0	Low-quality	Genome-fragment	40.19	HMM-based (lower-bound)	0.0	1.0	
TC29_NODE_117_length_213129_cov_2.900386_fragment_3	20615	No	NA	23	18	0	Low-quality	Genome-fragment	32.03	HMM-based (lower-bound)	0.0	1.0	
TC29_NODE_252_length_87617_cov_18.550006_fragment_1	41439	Yes	38595	58	21	2	Medium-quality	Genome-fragment	53.25	HMM-based (lower-bound)	6.86	1.0	
TC21_NODE_16_length_410530_cov_36.647248_fragment_1	33982	No	NA	30	12	0	Medium-quality	Genome-fragment	68.87	HMM-based (lower-bound)	0.0	1.0	
TC21_NODE_16_length_410530_cov_36.647248_fragment_2	15451	No	NA	27	12	0	Low-quality	Genome-fragment	22.87	HMM-based (lower-bound)	0.0	1.0	
TC46_NODE_4_length_2196845_cov_30.805628_fragment_18	40916	Yes	38277	55	21	2	Medium-quality	Genome-fragment	83.01	HMM-based (lower-bound)	6.45	1.0	
TC46_NODE_4_length_2196845_cov_30.805628_fragment_23	26934	Yes	21291	33	10	5	Low-quality	Genome-fragment	26.86	HMM-based (lower-bound)	20.95	1.0	
TC46_NODE_4_length_2196845_cov_30.805628_fragment_30	10868	No	NA	11	0	3	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TC15_NODE_618_length_21382_cov_5.734133	21382	No	NA	20	3	1	Low-quality	Genome-fragment	36.82	HMM-based (lower-bound)	0.0	1.0	
TC43_NODE_2_length_1821428_cov_5.251378_fragment_4	10697	No	NA	14	2	0	Medium-quality	Genome-fragment	69.11	HMM-based (lower-bound)	0.0	1.0	
TC43_NODE_2_length_1821428_cov_5.251378_fragment_9	15558	No	NA	20	3	2	Low-quality	Genome-fragment	17.59	HMM-based (lower-bound)	0.0	1.01	
TC43_NODE_2_length_1821428_cov_5.251378_fragment_12	10325	No	NA	10	1	0	Low-quality	Genome-fragment	8.69	HMM-based (lower-bound)	0.0	1.0	
TC16_NODE_173_length_23176_cov_18.279622	23176	No	NA	33	15	0	Low-quality	Genome-fragment	31.72	HMM-based (lower-bound)	0.0	1.0	
TC43_NODE_46_length_282059_cov_4.965747_fragment_2	8058	No	NA	11	1	0	High-quality	High-quality	90.12	HMM-based (lower-bound)	0.0	1.0	
TC43_NODE_46_length_282059_cov_4.965747_fragment_1	9820	No	NA	15	2	0	Low-quality	Genome-fragment	15.63	HMM-based (lower-bound)	0.0	1.0	
TC19_k99_3646	5020	No	NA	7	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TC5_NODE_11_length_598228_cov_12.707847_fragment_4	33480	Yes	24253	43	10	5	Medium-quality	Genome-fragment	55.19	HMM-based (lower-bound)	27.56	1.0	low-confidence Provirus
TC5_NODE_11_length_598228_cov_12.707847_fragment_8	33287	No	NA	33	0	5	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TC5_NODE_11_length_598228_cov_12.707847_fragment_1	37995	Yes	23850	46	5	4	Low-quality	Genome-fragment	35.19	HMM-based (lower-bound)	37.23	1.0	
TC24_NODE_1064_length_5943_cov_1.210454	5943	No	NA	13	2	0	Low-quality	Genome-fragment	4.83	HMM-based (lower-bound)	0.0	1.0	
TC2_NODE_70_length_327828_cov_64.579061_fragment_5	17665	No	NA	15	6	0	Low-quality	Genome-fragment	34.78	HMM-based (lower-bound)	0.0	1.0	
TC44_NODE_7_length_1694277_cov_17.567553_fragment_30	15305	No	NA	13	0	7	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TC44_NODE_7_length_1694277_cov_17.567553_fragment_23	49104	No	NA	64	9	0	Medium-quality	Genome-fragment	65.19	HMM-based (lower-bound)	0.0	1.0	
TC44_NODE_4_length_2252506_cov_13.870450_fragment_22	18412	No	NA	21	0	4	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TC44_NODE_4_length_2252506_cov_13.870450_fragment_12	51931	No	NA	90	26	1	Medium-quality	Genome-fragment	80.88	HMM-based (lower-bound)	0.0	1.0	
TC44_NODE_4_length_2252506_cov_13.870450_fragment_11	27063	No	NA	40	1	4	Low-quality	Genome-fragment	45.55	HMM-based (lower-bound)	0.0	1.0	
TC44_NODE_4_length_2252506_cov_13.870450_fragment_23	8263	No	NA	13	0	2	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TC16_NODE_159_length_27160_cov_17.922946	27160	No	NA	39	18	0	Low-quality	Genome-fragment	37.19	HMM-based (lower-bound)	0.0	1.0	
TC16_NODE_168_length_23899_cov_13.420032	23899	No	NA	21	10	1	Low-quality	Genome-fragment	32.58	HMM-based (lower-bound)	0.0	1.0	
TC21_NODE_10_length_663821_cov_141.374759_fragment_4	19742	Yes	11829	23	7	7	Low-quality	Genome-fragment	17.68	HMM-based (lower-bound)	40.08	1.0	low-confidence Provirus
TC21_NODE_10_length_663821_cov_141.374759_fragment_2	39033	No	NA	29	1	5	Low-quality	Genome-fragment	36.06	HMM-based (lower-bound)	0.0	1.0	
TC21_NODE_65_length_186223_cov_6.252418_fragment_1	52495	Yes	43605	76	15	8	Medium-quality	Genome-fragment	77.96	HMM-based (lower-bound)	16.93	1.0	
TC36_NODE_1554_length_5692_cov_1.720575	5692	No	NA	7	2	0	Low-quality	Genome-fragment	9.89	HMM-based (lower-bound)	0.0	1.0	
TC14_NODE_809_length_11973_cov_1.617255	11973	No	NA	20	8	0	Low-quality	Genome-fragment	13.66	HMM-based (lower-bound)	0.0	1.0	
TC29_NODE_364_length_42087_cov_13.921640_fragment_1	27136	No	NA	37	17	1	Medium-quality	Genome-fragment	55.77	HMM-based (lower-bound)	0.0	1.0	
TC9_NODE_826_length_15718_cov_1.951575_fragment_1	9795	No	NA	11	9	0	Low-quality	Genome-fragment	11.48	HMM-based (lower-bound)	0.0	1.0	
TC36_NODE_55_length_203084_cov_8.262942_fragment_1	42130	No	NA	51	19	0	Medium-quality	Genome-fragment	60.93	HMM-based (lower-bound)	0.0	1.0	
TC11_NODE_945_length_13098_cov_1.512297	13098	No	NA	23	4	0	Low-quality	Genome-fragment	18.0	HMM-based (lower-bound)	0.0	1.0	
TC19_k99_32096_fragment_1	19943	No	NA	14	0	5	Not-determined	Genome-fragment	NA	NA	0.0	1.01	no viral genes detected
TC26_NODE_150_length_46344_cov_163.924941	46344	No	NA	48	7	1	Medium-quality	Genome-fragment	71.89	HMM-based (lower-bound)	0.0	1.0	
TC34_NODE_97_length_24917_cov_420.315732	24917	No	NA	36	1	0	Low-quality	Genome-fragment	12.08	HMM-based (lower-bound)	0.0	1.0	
TC50_NODE_2_length_837294_cov_3.893024_fragment_1	54807	No	NA	86	28	2	Medium-quality	Genome-fragment	86.5	HMM-based (lower-bound)	0.0	1.0	
TC33_NODE_170_length_11079_cov_14.120526	11079	No	NA	17	6	0	Low-quality	Genome-fragment	13.96	HMM-based (lower-bound)	0.0	1.0	
TC39_NODE_13_length_671287_cov_7.523416_fragment_9	19714	No	NA	24	1	2	Low-quality	Genome-fragment	36.05	HMM-based (lower-bound)	0.0	1.0	
TC39_NODE_13_length_671287_cov_7.523416_fragment_7	41219	No	NA	73	20	3	Medium-quality	Genome-fragment	56.55	HMM-based (lower-bound)	0.0	1.0	
TC32_NODE_64_length_374552_cov_6.854451_fragment_6	79910	No	NA	126	34	7	Medium-quality	Genome-fragment	84.84	HMM-based (lower-bound)	0.0	1.0	
TC26_NODE_325_length_17971_cov_168.797691	17971	Yes	12386	22	5	4	Low-quality	Genome-fragment	17.46	HMM-based (lower-bound)	31.08	1.0	
TC26_NODE_61_length_118463_cov_9.535391_fragment_2	61670	Yes	39589	70	7	14	Low-quality	Genome-fragment	44.33	HMM-based (lower-bound)	35.81	1.0	
TC26_NODE_61_length_118463_cov_9.535391_fragment_1	7210	No	NA	8	0	3	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TC2_NODE_19_length_687920_cov_7.213556_fragment_7	47892	Yes	39077	49	10	9	Medium-quality	Genome-fragment	55.61	HMM-based (lower-bound)	18.41	1.0	
TC2_NODE_21_length_671873_cov_26.916482_fragment_7	52691	No	NA	77	22	1	Medium-quality	Genome-fragment	85.92	HMM-based (lower-bound)	0.0	1.0	
TC25_k99_1342	6429	No	NA	13	7	0	Low-quality	Genome-fragment	9.88	HMM-based (lower-bound)	0.0	1.0	
TC15_NODE_183_length_60869_cov_5.675101_fragment_1	15039	No	NA	13	3	1	Low-quality	Genome-fragment	19.55	HMM-based (lower-bound)	0.0	1.0	
TC22_k99_16296	6672	No	NA	11	5	0	Low-quality	Genome-fragment	7.99	HMM-based (lower-bound)	0.0	1.0	
TC1_NODE_260_length_81493_cov_3.605916_fragment_1	28486	No	NA	36	11	0	Low-quality	Genome-fragment	39.76	HMM-based (lower-bound)	0.0	1.0	
TC21_NODE_5_length_839839_cov_12.217828_fragment_4	43475	No	NA	57	28	1	Medium-quality	Genome-fragment	86.0	HMM-based (lower-bound)	0.0	1.0	
TC22_k99_10815	31613	No	NA	35	10	1	Low-quality	Genome-fragment	38.23	HMM-based (lower-bound)	0.0	1.0	
TC8_NODE_34_length_261083_cov_2.914426_fragment_2	15512	No	NA	18	2	2	Medium-quality	Genome-fragment	71.62	HMM-based (lower-bound)	0.0	1.0	
TC19_k99_31888_fragment_1	34920	Yes	25521	38	8	7	Low-quality	Genome-fragment	47.97	HMM-based (lower-bound)	26.92	1.0	low-confidence Provirus
TC36_NODE_142_length_56781_cov_2.139566_fragment_1	16625	Yes	8891	18	5	4	Low-quality	Genome-fragment	15.82	HMM-based (lower-bound)	46.52	1.0	
TC27_NODE_206_length_6257_cov_1.952365	6257	No	NA	7	1	0	Low-quality	Genome-fragment	5.6	HMM-based (lower-bound)	0.0	1.0	
TC13_NODE_5_length_893776_cov_11.053438_fragment_12	67609	No	NA	106	32	3	High-quality	High-quality	90.28	HMM-based (lower-bound)	0.0	1.0	
TC32_NODE_5_length_1149355_cov_47.716533_fragment_2	13394	No	NA	12	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TC32_NODE_5_length_1149355_cov_47.716533_fragment_5	21606	Yes	8863	17	3	4	Low-quality	Genome-fragment	4.38	HMM-based (lower-bound)	58.98	1.0	
TC32_NODE_5_length_1149355_cov_47.716533_fragment_13	12963	No	NA	13	5	0	Low-quality	Genome-fragment	24.58	HMM-based (lower-bound)	0.0	1.0	
TC32_NODE_5_length_1149355_cov_47.716533_fragment_3	74695	Yes	50045	71	17	9	Medium-quality	Genome-fragment	71.38	HMM-based (lower-bound)	33.0	1.0	low-confidence Provirus
TC32_NODE_5_length_1149355_cov_47.716533_fragment_7	9941	No	NA	12	5	0	Low-quality	Genome-fragment	12.38	HMM-based (lower-bound)	0.0	1.0	
TC29_NODE_47_length_416090_cov_2.838178_fragment_4	32201	Yes	24836	41	19	5	Low-quality	Genome-fragment	30.32	HMM-based (lower-bound)	22.87	1.0	
TC12_NODE_60_length_188617_cov_283.509714_fragment_3	25018	No	NA	33	17	0	Low-quality	Genome-fragment	36.1	HMM-based (lower-bound)	0.0	1.0	
TC16_NODE_281_length_5122_cov_40.560961	5122	No	NA	5	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TC21_NODE_778_length_9445_cov_1.307899	9445	No	NA	14	1	0	Low-quality	Genome-fragment	14.13	HMM-based (lower-bound)	0.0	1.0	
TC38_NODE_164_length_24167_cov_1.355158	24167	No	NA	33	16	1	Low-quality	Genome-fragment	43.15	HMM-based (lower-bound)	0.0	1.0	
TC18_NODE_3_length_923199_cov_12.620061_fragment_3	46649	Yes	43530	60	10	4	Medium-quality	Genome-fragment	56.57	HMM-based (lower-bound)	6.69	1.0	
TC25_k99_2964	40736	No	NA	59	28	0	Medium-quality	Genome-fragment	84.66	HMM-based (lower-bound)	0.0	1.0	
TC22_k99_27017_fragment_1	44694	Yes	38794	52	21	4	Medium-quality	Genome-fragment	83.83	HMM-based (lower-bound)	13.2	1.0	
TC30_NODE_2_length_2539971_cov_38.752415_fragment_26	80869	Yes	68484	106	40	9	Medium-quality	Genome-fragment	85.23	HMM-based (lower-bound)	15.31	1.0	
TC30_NODE_2_length_2539971_cov_38.752415_fragment_24	78694	Yes	56565	113	22	11	Complete	High-quality	100.0	Provirus (medium-confidence)	28.12	1.0	
TC30_NODE_2_length_2539971_cov_38.752415_fragment_8	16810	No	NA	20	11	2	Low-quality	Genome-fragment	31.08	HMM-based (lower-bound)	0.0	1.0	
